timestamp,action,confidence,fps
1778651066.4636965,squat,0.575,0
1778651066.5737324,squat,0.5749,0
1778651066.697001,squat,0.5749,0
1778651066.793615,squat,0.5745,0
1778651066.946482,squat,0.5742,0
1778651067.1081645,squat,0.5737,0
1778651067.3236094,squat,0.5735,0
1778651067.4771066,squat,0.5732,0
1778651067.6392038,squat,0.5732,0
1778651067.7834551,squat,0.5731,0
1778651067.9346611,squat,0.5728,0
1778651068.0849109,squat,0.5723,0
1778651068.2305927,squat,0.5717,0
1778651068.3973687,squat,0.5712,0
1778651068.596413,squat,0.5709,0
1778651068.7522514,squat,0.5706,0
1778651068.9312882,squat,0.5704,0
1778651069.0967112,squat,0.5698,0
1778651069.2545881,squat,0.5693,0
1778651069.4142482,squat,0.5689,0
1778651069.6815434,squat,0.5684,0
1778651069.8925476,squat,0.5681,0
1778651070.0706284,squat,0.568,0
1778651070.2552443,squat,0.5679,0
1778651070.4211338,squat,0.5676,0
1778651070.5700111,squat,0.5673,0
1778651070.718614,squat,0.5667,0
1778651070.8690934,squat,0.5658,0
1778651071.0281367,squat,0.5646,0
1778651071.1840477,squat,0.5636,0
1778651071.3368027,squat,0.5626,0
1778651071.499148,squat,0.5622,0
1778651071.666574,squat,0.5621,0
1778651071.814834,squat,0.5618,0
1778651072.0962496,squat,0.5614,0
1778651072.2297466,squat,0.5608,0
1778651072.3633146,squat,0.5601,0
1778651072.5297153,squat,0.5596,0
1778651072.7287085,squat,0.5595,0
1778651072.9087217,squat,0.5597,0
1778651073.0835993,squat,0.56,0
1778651073.2634335,squat,0.5601,0
1778651073.5138898,squat,0.56,0
1778651073.707471,squat,0.5595,0
1778651073.8734174,squat,0.5591,0
1778651074.0192614,squat,0.5588,0
1778651074.2221143,squat,0.5588,0
1778651074.3807907,squat,0.5587,0
1778651074.5397797,squat,0.5589,0
1778651074.6975405,squat,0.5588,0
1778651074.8525836,squat,0.5589,0
1778651075.036386,squat,0.5588,0
1778651075.199663,squat,0.5586,0
1778651075.3537197,squat,0.5584,0
1778651075.5186641,squat,0.5583,0
1778651075.7035818,squat,0.5583,0
1778651075.8537185,squat,0.5585,0
1778651076.016177,squat,0.5585,0
1778651076.1655686,squat,0.5586,0
1778651076.3319292,squat,0.5585,0
1778651076.5515501,squat,0.5587,0
1778651076.7023644,squat,0.5587,0
1778651076.837493,squat,0.5588,0
1778651076.980584,squat,0.5588,0
1778651077.1097744,squat,0.559,0
